atu_number,title,level_1_category,level_2_category,level_3_category,category_range,detail_url,description
1,The theft of fish,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=1,The fox plays dead; a man throws him on his wagon of fish. The fox throws the fish off and carries them away. The wolf imitates and is caught.
2,How the bear lost his tail,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=2,"The bear (wolf) is persuaded to fish with his tail through a hole in the ice. His tail freezes fast. When he is attacked and tries to escape, he loses his tail. Variants 2A. The Buried Tail Dupe's tail is buried or hair tied. He is then attacked.   2B. The Basket Tied to the Wolf's Tail   2C. Bear Persuaded to Jump over Fire   2D. Wolf – Bear – Persuaded to Turn in Wind"
3,Sham Blood and Brains,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=3,"The fox covers his head with buttermilk (blood, urine, etc.) and says that his brains have been knocked out. Frightens the bear. No examples in our database yet"
4,Carrying the Sham-Sick Trickster,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=4,The fox shams sickness and is carried by the wolf.   See also: 72
5,Biting the foot,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=5,"The fox to the bear, who is biting his foot: »You are biting the tree root.» The bear lets loose. No examples in our database yet"
7,The calling of three tree names,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=7,The bear and the fox wager as to which can name three trees first. The bear names different varieties of the same tree. The fox wins the wager.
8,"""Painting"" on the Haycock",ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=8,The bear (wolf) wants to be painted like the birds. The fox persuades him to lie on a haycock and sets fire to it. Variants 8A. False Beauty-doctor The trickster pretends to make the dupe beautiful. Injures him.   No examples in our database yet
9,The unjust partner,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=9,"In the field and in the stable. The bear works: the idle fox cheats the bear. Variants 9A. In the Stable the Bear Threshes The fox pretends to hold up the roof so that it will not fall on the bear's head.   9B. In the Division of the Crop the Fox Takes the Corn While sharing the corn they planted together, the fox takes the corn and the bear the chaff. The fox claims the difference in sound is because his share got moist.  9C. In Cooking Dinner the Fox's Porridge Is Light No examples in our database yet"
15,Stealing the Partner's Butter,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=15,The fox (the hen) pretends that he has been invited to be godfather and steals the butter stored by him and the bear (the cock) for the winter. He smears butter on the mouth (tail) of the sleeping bear.
20,Animals Eat One Another Up,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=20,"The fox persuades them to begin with the smallest. See also: 231* Variants 20A. The Animals are Caught in a Pit To eat one another up.   20B. An Old Man is Caught in a Trap and Dies The animals carry his body home, eat him up, and have nothing left to eat.   20C. The End of the World A duck sees a man pee and things the world is on fire. He flees and tells others of the bad disaster."
21,Eating his own Entrails,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=21,The fox persuades the wolf (bear) to eat his own entrails. See also: 20 No examples in our database yet
30,The Fox Tricks the Wolf into Falling into a Pit,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=30,Race. No examples in our database yet
34,The Wolf Dives into the Water for Reflected Cheese,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=34,"The wolf and the fox think the reflection of the moon in the water is a cheese. The fox lowers the wold into the water, the wolf fall into the water and the cheese disappears.  Motives J1791.3 Variants 34A. Dog Drops his Meat for the Reflection Crossing the stream with the meat in his mouth he sees his reflection; thinking it another dog with meat he dives for it and loses his meat.   34B. The Wolf Drinks Water to Get Cheese Fox puts stopper in him to keep water from escaping but takes it out when they come to a tavern."
36,The Fox in Disguise Violates the She-Bear,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=36,"The she-bear is caught in a tree cleft or hole in the hedge . To avoid later recognition the fox covers himself with soot and is taken for the pastor. Variant: the hare, the she-fox. No examples in our database yet"
37,The fox as shepherd,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=37,Search for a nursemaid (or mourning-woman). Fox takes service and eats up the young bears.
38,Claw in Split Tree,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=38,The fox (or man) persuades the bear to stick his claw in the cleft of a split tree. See also: 151
39,The Bear Pulls Mountain Ashes apart so that the Fox's Old Mother can Get Berries,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=39,The fox eats the berries himself. No examples in our database yet back to index
41,The Wolf Overeats in the Cellar,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=41,"The fox persuades the wolf to enter a cellar (smokehouse or kitchen) and steal food. The wolf eats so much that he cannot escape through the hole he has entered by. He is killed. Cf. Types 33 *, 33 **."
43,"The Bear Builds a House of Wood; the Fox, of Ice",ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=43,"In summer the fox wants to drive the bear out of his house Cf. Types 81 , 1097 , 1238 . No examples in our database yet"
44,The Oath on the Iron,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=44,"In a dispute between the fox, the wolf, and the bear concerning the theft of their winter supplies, the fox denies the guilt and swears by touching iron (a trap). The bear follows his example but hits the iron so hard that his paws are caught. No examples in our database yet back to index"
49,The bear and the honey,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=49,"The fox leads the bear to a wasp-nest. See also: 1785C Variants 49A. The Wasp Nest as King's Drum  Two animals steal food together but one eats it all. The clever animal pursued by the dupe sits beside a waspnest which he says is the king's drum he has been ordered to guard. The dupe insists upon playing the »drum» and is badly stung, etc.   I. Characters : (a) tiger, (b) hare, (c) monkey, (d) fox or jackal, (e) man.   II. Incidents : (a) The wasp nest said to be drum, (b) Snake said to be flute, scepter, etc., (c) Prickly plants said to be king's sugar cane, (d) Top of well, etc., said to be king's bed.   No examples in our database yet"
50,Curing a Sick Lion,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=50,"The fox pretends to seek a remedy for the lion; advises him to skin the wolf . Variants 50A. Fox Sees all Tracks going into Lion's Den but none coming out A sick lion asks the animals for help and they all send an emissary. Only the fox does not enter the den. He sees trails going in, but none coming out.  50C. The Ass Boasts of having Kicked the Sick Lion The fox praises him for his courage."
51,The Lion's share,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=51,"The ass divides booty equally between himself, the fox, and the lion. The lion eats the ass. The fox then divides: gives the lion meat and keeps bones. Variants 51A. Fox Refuses to be Mediator Lion decides to abandon lioness because of her bad odor. Ass, hog, and fox as judges. Ass says she has bad odor: lioness slaps him. Hog says she has not: lion slaps him. Fox says he has a bad cold and cannot smell."
52,The Ass without a Heart,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=52,"The ass as toll-gatherer is killed by the lion for asking for toll. The fox eats the ass's heart. When the lion asks for it, the fox replies that the ass could have had no heart since he was such a fool as to ask the lion for toll. No examples in our database yet"
53,Reynard the Fox at Court,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=53,"The fox is summoned to appear before the court of justice, but he does not come and laughs at the messengers. When he is caught at last and about to be hanged, he escapes again. No examples in our database yet"
55,The Animals Build a Road (Dig Well),ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=55,The fox as overseer punishes lazy animals.
57,Raven with a Cheese,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=57,A raven/crow has some cheese/meat in his mouth. The fox flatters the raven into singing. He drops his food and the fox gets it.
58,The Crocodile Carries the Jackal,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=58,"The jackal, who wants to eat fruit or carrion on the other bank, persuades a crocodile to carry him across the river by saying he will find a bride for the crocodile. He makes a dummy and, safe back on shore, sends the crocodile to that. No examples in our database yet"
59,Fox and the Sour Grapes,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=59,Pretends that the grapes he cannot reach are sour.
60,The Fox and the Crane Invites Each Other,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=60,"The crane (heron) has his food in a deep dish, the fox his on a flat plate. The crane injures his beak."
61,The Fox Persuades the Cock to Crow with Closed Eyes,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=61,"Captures him. Often followed by: the cock persuades the fox to ask a blessing before eating him. See also: 6 , 122 Variants 61A. Fox as Confessor  Fox persuades cock to come down from a tree ant confess sins to him. When cock comes down, fox seizes him. Cock begs to be released and tempts fox by saying that he will lead him to a feast of a rich bishop. Fox believes it, and the cock flies away and mocks him. Cf. Type 6 .  61B. Cat, Cock, and Fox live together When cat goes away into the forest, fox carries cock off. Cock screams for help; cat rescues him. By playing music cat lures young foxes from den and kills them."
62,Peace Among the Animals – The Fox and the Cock,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=62,The fox tries to beguile the cock by reporting a new law establishing peace among the animals. Dogs appear and the fox flees saying that the dogs have not yet heard of the new law. No examples in our database yet
63,The Fox (or Jackal) and the Fleas,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=63,
64,Tailless Fox Tries in Vain to Get Foxes to Cut off Tails,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=64,
65,Mrs. Fox's Suitors,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=65,The widowed she-fox proves her faithfulness by rejecting suitors who do not resemble her deceased husband.
68,The Jackal Trapped in the Animal Hide,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=68,"I. Entering the Elephant. (a) An elephant lets his friend the jackal enter his body to drink water. The jackal eats the internal organs and the elephant dies. The jackal is trapped in the carcass. (b) A jackal eats its way into a carcass which it finds and is trapped inside when the skin dries.   II. Jackal and the God. (a) A god passes and the jackal challenges him to a rain-making contest. The god sends rain, the carcass swells, and the jackal escapes. (b) The jackal pretends to be a god and frightens people into bringing sacrifice and pouring water over the carcass.   Motives  F929.1 , J2136.6.1 , K565.2 , K952.1.1 , K1022.1.1 , K1973 Variants 68A. Greed The animal puts his head into the jug in which there is some food; he cannot get it out of the trap and is caught or killed.   68B. The Fox Drowns the Pot Puts the pot on his head and is himself drowned.   No examples in our database yet"
70,More cowardly than the hare,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=70,"The hare finds a (sheep, fish, frog, etc.) who is afraid of him and laughs till his lip splits. See also: 47A"
71,Contest of Frost and the Hare,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=71,"The hare lies on the frozen snow and says, »Oh, how warm!» No examples in our database yet"
72,The Rabbit Rides Fox A-Courting,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=72,"The fox is the favorite suitor of the girl the rabbit wants. The rabbit tells the girl that the fox is his horse. She refuses to believe him. She agrees to marry if he will ride to her house. He persuades fox to carry him—usually by feigning lameness—and wins the girl. (Sometimes told of human beings.) Cf. Type 4 .  Motives K1241 , K1241.1 No examples in our database yet"
73,Blinding the Guard,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=73,"The rabbit, imprisoned in a hollow tree, induces his guard to look up at him. He spits tobacco juice into the guard's eyes and blinds the guard, and thus effects his escape. No examples in our database yet"
75,The Help of the Weak,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=75,"The mouse gnaws the net and liberates the captured bear (fox, lion). No examples in our database yet"
76,The Wolf and the Crane,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=76,"The crane pulls a bone from the wolf's windpipe. When he asks for payment the wolf says, ""That you were allowed to take your beak from my throat is payment enough."""
77,The Stag Admires Himself in a Spring,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=77,"The stag admires himself in a spring. He is proud of his horns, ashamed of his legs. In flight his horns are caught and the dogs overtake him."
78,Animal Allows himself to be Tied to Another for Safety,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=78,Animal allows himself to be tied to another for safety. Carried to his death.   Variants 78A. Animal Allows Himself to be Tied so as to Avoid Being Carried off by Storm Animal allows himself to be tied so as to avoid being carried off by storm .  No examples in our database yet
81,Too cold for hare to build house in winter,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=81,"Too cold for hare to build house in winter, not necessary in summer: must go without a house. Cf. Types 43 , 1238 . No examples in our database yet"
85,"The Mouse, the Bird, and the Sausage",ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=85,"The mouse, the bird, and the sausage keep house together each with appropriate duties. When they exchange roles, all goes ill."
90,"The Needle, the Glove, and the Squirrel",ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=90,The needle at first has little success; receives blows from the others. Finally it slips into an elk's stomach andkills the elk. No examples in our database yet
91,The Heart of a Monkey,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=91,Monkey when caught for his heart (as remedy) makes his captor believe that he has left his heart home. Is released.
92,The Lion in the Water,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=92,"The hare, sent to be the lion's dinner, says he has been detained by a more powerful enemy and shows the lion his own reflection in a well. The lion leaps in and is drowned. Cf. Types 34 , 34A , 1168A , 1336 , 1383 . Variants 92A. Hare as Ambassador of the Moon Hare claiming to be ambassador of moon shows elephant the moon irritated in a spring. Elephant is persuaded that the moon is angry.   No examples in our database yet"
93,The Master Taken Seriously,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=93,She-fox and her children do not flee from the vineyard until owner begins in earnest to root it out. (Also told of other animals.) No examples in our database yet
96,When the hare was married,ANIMAL TALES,Wild Animals,Other Wild Animals,70-99,index.php?action=atu&src=atu&id=96,
100,The Wolf as the Dog's Guest Sings,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=100,The wolf as the dog's guest sings. Has drunk too much. Sings in spite of the dog's objections. Is killed. No examples in our database yet
101,The old dog rescues the child,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=101,A farmer plans to kill a faithful old dog. The wolf makes a plan to save the dog. The latter is to rescue the farmer's child from the wolf. The plan succeeds. The wolf in return wants to steal the farmer's sheep. The dog objects and loses the wolf's friendship. Motives K231.3
102,The Dog as Wolf's Shoemaker,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=102,"The dog as wolf 's shoemaker. He demands material for the shoes and then successively eats up the cow, hog, etc. furnished him.  No examples in our database yet"
103,War between Wild Animals and Domestic Animals,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=103,The cat shrieks; the bear falls out of the tree and breaks his backbone. Variants 103A. The Cat as She-fox's Husband The cat as she-fox's husband. Frightens the other wild animals invited by her.   103C. Old Ass Turned Out by Master Meets Bear or Lion
104,The Cowardly Duelers,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=104,War between the domestic and wild animals. The cat raises her tail; the wild animals think it is a gun and flee. Cf. Type 222 .  No examples in our database yet
105,The fox and the cat,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=105,The cat has only one trick and saves herself in a tree. The fox who knows a hundred tricks is captured.
106,The Animal's Conversation,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=106,"Animals' conversation (imitation of animal sounds). See also: 206 , 236* , 2075 No examples in our database yet"
107,Dog Leader Fears Defeat Because his Forces are of Different Breeds.,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=107,Dog leader fears defeat because his forces are of different breeds. Wolves are all of one kind.  No examples in our database yet back to index
110,Belling the Cat,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=110,The mice buy a bell for the cat but no one dares tie it on her.  No examples in our database yet
111,The Cat and the Mouse Converse,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=111,"The mouse tells the cat a tale. The cat answers, »Even so, I eat you up.»   Variants 111A. Wolf Unjustly Accuses Lamb and Eats him When all the lamb's defences are good the wolf asserts the right of the strong over the weak. (Usually accused of stirring up water lower in stream.)   No examples in our database yet"
112,Town Mouse and Country Mouse,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=112,Country mouse visits town mouse. Former prefers poverty with safety. See also: 245
113,Mice Choose Cat as King,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=113,"Mice choose cat as king.  Variants 113A. Death of an elf (or cat) Cat leaves house when report is made of death of one of his companions. His master has been told to say »Robert is dead». As soon as this is said, the cat leaves.   113B. The Cat as Sham Holy Man Cat pretends to be a holy man, enlists mice as disciples, and eats them one by one as they file by or listen to sermons. Cf. Type 61 .  No examples in our database yet"
114,Chanticleer Believes that his Crowing Makes the Sun Rise,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=114,Chanticleer believes that his crowing makes the sun rise. Disappointed when it rises without his aid.  No examples in our database yet back to index
115,The Hungry Fox Waits in Vain for the Horse's Lips (Scrotum) to Fall Off,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=115,The hungry fox waits in vain for the horse's lips (scrotum) to fall off .
116,The Bear on the Hay-Wagon,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=116,The bear on the hay-wagon (or on the horse) is mistaken for the preacher .
118,The Lion Frightened by the Horse,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=118,The horse strikes sparks with his hooves. The wolf (bear) boasts of having eaten horses. The lion thereupon picks up the wolf to show him the horse and squeezes him to death.  No examples in our database yet
120,The First to See the Sunrise,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=120,Wager between the fox and the hog. In the contest the fox places himself on a hill facing the east; the hog in a lower place facing the high trees to the west. The sun shines on the top of the trees and the hog wins. (Sometimes told with human actors.)  Motives J2351.4
121,Wolves Climb on Top of One Another to Tree,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=121,Wolves climb on top of one another to tree. The hog (or man) in the tree. The lowest wolf runs away and all fall. Cf. Type 1250 .  No examples in our database yet
122,The Wolf Loses His Prey,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=122,"The wolf loses his prey. Escape by false plea. Variants 122A. The Wolf – Fox – Seeks Breakfast  The wolf (fox) seeks breakfast. He threatens to eat various animals (the hog, the sheep, the horse, etc.). At their request he waits till the passport has been examined, the children have been baptized, and the like. He loses his feast. Cf. Type 227 .  122B. The Squirrel Persuades the Fox to Pray before Eating The rat persuades the cat to wash her face before eating. He escapes.  122C. The Sheep Persuades the Wolf to Sing The sheep persuades the wolf to sing. The dogs are thus summoned.  122D. Let Me Catch You Better Game Captured animal pretends to help captor bring more desirable victim. Escapes.   122E. Eat me when I'm fatter   122F. Eat Me When I'm Fatter Captured person (animal) persuades his captor to wait and fatten him before eating him.   122G. ""Wash Me"" (""Soak Me"") before Eating I. Trickster tells captor he must be washed before captor eats him. Escapes. II. Turtle tells jackal he must be soaked in water to soften his shell.  122H. ""Wait Until I Get Dry"" Monkey pulled from mud by tiger asks to dry in sun before being eaten. Escapes.   122J. Ass begs Wolf to Pull Thorn out of Foot before Eating him Ass begs wolf to pull thorn out of foot before eating him: kicks wolf in mouth.  122K. Wolf Acts as Judge before Eating the Rams"
123,The Wolf and the Seven Young Kids,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=123,The wolf comes in the absence of the mother and eats up the kids . The old goat cuts the wolf open and rescues them . Cf. Type 333 .  Variants 123A. Fox Buys Colt and Leaves it at Home Fox buys colt and leaves it at home. Wolf changes voice and devours colt.  123B. Wolf in Sheep's Clothing Gains Admission to the Fold Wolf in sheep's clothing gains admission to the fold Cf. Type 214B .
124,The Three Little Pigs,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=124,The goose builds a house of feathers; the hog one of stone. The wolf blows the goose's house in and eats her. Cannot blow down the hog's house. Finally he is allowed to enter. He is tricked into the chimney (or churn) where he is burned up.
125,The Wolf Flees from the Wolf-head,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=125,The sheep have found a sack and wolfhead. They make the wolf believe that they have killed a wolf. He flees in terror.Cf. Type 1149 . No examples in our database yet
130,Outcast Animals Find a New Home,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=130,They drive away an intruder. See also: 210 Motives K1161
131,Tiger as False Friend to the Cow,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=131,"A tiger and a cow become friends and both bear offspring. The tiger drinks water downstream from the cow, decides her flesh would be sweet, and kills and devours her. The calf has been forewarned (lifetoken: cup of milk). The cub, ashamed of its…   No examples in our database yet back to index"
132,Goat Admires his Horns in the Water,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=132,"Goat admires his horns in the water, and says, ""I needn't be afraid of the wolf."" Wolf behind him asks him what he was saying. Goat: ""One talks such foolishness when one is drinking.""  No examples in our database yet"
136,Wolf Surprises Pig in Apple Tree,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=136,"Wolf surprises pig in apple tree. Will release him in return for one of his harms. Pig throws down a piece of thorny wood instead, which splits wolf's gullet.   No examples in our database yet"
137,The Filthy Hog and the Clean Fish,ANIMAL TALES,Wild Animals and Domestic Animals,,100-149,index.php?action=atu&src=atu&id=137,"The hog: ""People will spit when they eat you, whereas in my case all will lick their fingers."" No examples in our database yet back to index"
150,The Bird's Three Precepts,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=150,"A man releases a fox (bird) if the latter will give him three counsels: ""When you have a fox, don't let him loose."" No examples in our database yet"
151,Music lessons for wild animals,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=151,"He tricks them by catching their claws in a cleft tree. Similarly betrays many other animals. The freed animals try in vain for revenge. See also: 38,1159 Motives K1111.0.1 , K1111.1"
153,The Gelding of the Bear and the Fetching of Salve,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=153,"The man tells the bear that the horse is strong because he is gelded. The bear has the man geld him to make him strong. He is to geld the man the next day. The man substitutes his wife and sends her with salve; the bear in disgust throws the salve into the tree. Cf. Type 1133 .  Motives K1012.1 , K241 No examples in our database yet"
154,The Jackal and the Farmer,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=154,The fox helps the man; his reward. He converses with his members.  Motives C25
155,Ingratitude Is the World's Reward,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=155,"A man rescues a serpent (or a bear), who in return seeks to kill the rescuer. Fox, as judge, advises the man to put the serpent back into captivity.  Motives J1172.3"
156,Androcles and the Lion,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=156,In gratitude the lion later rewards the man. Motives B381 Variants 156A. The faith of the lion In gratitude the lion later rewards the man.   No examples in our database yet
157,Learning to Fear Men,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=157,"The fox undertakes to persuade the wolf of the frightfulness of men. They see an old man. The fox says this was a man but is no longer one. Likewise a boy (will be a man). Next a man with a gun. The wolf approaches and is shot. He tells the fox he could have defeated the man but for the man's spitting fire. [ J17 ].  Variants 157A. The lion searches for man A young lion, warned by parents to shun man, asks other large animals if they are man. He meets a man and is scornful of him, but man tricks him into entering a cage and leaves him to starve."
158,The wild animals on the sleigh,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=158,The sleigh comes in two. The animals get satisfactory material for repairs from the forest. [ B831 ]. While the owner goes for good material they eat the horse. No examples in our database yet
159,Captured wild animals ransom themselves,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=159,"Bring horses, cows, etc. to the man. See also: 130 Motives B278 Variants 159A. Animals Warm Selves at Charcoal Burner's Fire Sent after food for dinner, each brings back booty, but charcoal burner tricks them and kills them. Cf. Type 130D*.   159B. Enmity of lion and man Lion allows man to strike him behind the head with an axe. After a year: The wound is healed but not the ache. Devours man.   No examples in our database yet"
160,Grateful Animals ; Ungrateful Man,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=160,"The rescue from the pit. A traveler saves a monkey, a snake, a tiger, and a jeweler from a pit. The monkey gives him fruit; the tiger a necklace of the princess he has killed. The jeweler accuses the rescuer before the king. The serpent saves him by biting the prince and then showing the man the proper remedy.  Motives W154.8 , K735 , B522.1 , B522.2 , B512 Variants 160A. The travelers and the animals in the wolf's hole  The violinist falls into the wolf's hole together with the bear and the wolf. He plays to them and in the morning he helps the bear to get out; the bear then saves him, leaving the wolf who had hindered the violinist from getting out. Cf. Latvian *l56C. Cf. Type 168 ."
161,Peasant Betrays Fox by Pointing,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=161,"The peasant has hidden the fox in a basket, and promised not to tell. When the hunters come, he says, »The fox just went over the hill,« but points to the basket. [ K2315 ]."
163,The singing wolf,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=163,"By his singing the wolf compels the old man to surrender his cattle, his children and grandchildren, and finally his wife. The old woman goes into the wolf's service. She returns home bringing butter, etc. [ Z33.4.2 ].  No examples in our database yet"
165,The wolf in the company of saints,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=165,"Promises to give up slaying animals. After wringing the gander's neck, excuses himself, saying: »He should not have hissed at the saint.« [ K2055.1 ]. No examples in our database yet back to index"
168,The musician in the wolf-trap,ANIMAL TALES,Wild Animals and Humans,,150-199,index.php?action=atu&src=atu&id=168,"There he encounters a wolf already trapped, and saves himself by playing music. [ B848.1 ]. Cf. Types 160A , 1652 ."
