dataset,story_name,text_file,has_v2,v2_path,has_v3,v3_path,has_narrative
PersianTales,FA_015_en,datasets/PersianTales/texts/FA_015_en.txt,False,,False,,False
PersianTales,FA_016_en,datasets/PersianTales/texts/FA_016_en.txt,False,,False,,False
PersianTales,FA_017_en,datasets/PersianTales/texts/FA_017_en.txt,False,,False,,False
PersianTales,FA_018_en,datasets/PersianTales/texts/FA_018_en.txt,False,,False,,False
PersianTales,FA_019_en,datasets/PersianTales/texts/FA_019_en.txt,False,,False,,False
PersianTales,FA_020_en,datasets/PersianTales/texts/FA_020_en.txt,False,,False,,False
PersianTales,FA_021_en,datasets/PersianTales/texts/FA_021_en.txt,False,,False,,False
PersianTales,FA_022_en,datasets/PersianTales/texts/FA_022_en.txt,False,,False,,False
PersianTales,FA_023_en,datasets/PersianTales/texts/FA_023_en.txt,False,,False,,False
PersianTales,FA_024_en,datasets/PersianTales/texts/FA_024_en.txt,False,,False,,False
PersianTales,FA_025_en,datasets/PersianTales/texts/FA_025_en.txt,False,,False,,False
PersianTales,FA_026_en,datasets/PersianTales/texts/FA_026_en.txt,False,,False,,False
PersianTales,FA_027_en,datasets/PersianTales/texts/FA_027_en.txt,False,,False,,False
PersianTales,FA_028_en,datasets/PersianTales/texts/FA_028_en.txt,False,,False,,False
PersianTales,FA_029_en,datasets/PersianTales/texts/FA_029_en.txt,False,,False,,False
PersianTales,FA_030_en,datasets/PersianTales/texts/FA_030_en.txt,False,,False,,False
