motif_code,title,level_1_category,level_2_category,level_2_range,level_3_category,level_3_range
A0,"Creator.—For a general bibliography of creation myths, see Alexander N. Am.",Mythological Motifs,Creator,A0-A99,,
A10,Nature of the creator.—India: Thompson-Balys.,Mythological Motifs,Creator,A0-A99,,
A20,Origin of the creator.,Mythological Motifs,Creator,A0-A99,,
A30,Creator's companions. Inca: Rowe BBAE CXLIII (2) 315; Tahiti: Henry,Mythological Motifs,Creator,A0-A99,,
A40,Creator's advisers. Jewish: Neuman.,Mythological Motifs,Creator,A0-A99,,
A50,"Conflict of good and evil creators. *Dh I 1—89 passim, 172ff.—Jewish:",Mythological Motifs,Creator,A0-A99,,
A60,Marplot at creation. An evil opponent attempts to undo or mar the work of,Mythological Motifs,Creator,A0-A99,,
A70,Creator: miscellaneous motifs.,Mythological Motifs,Creator,A0-A99,,
A100,Deity.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A110,Origin of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A120,Nature and appearance of the gods. (cf. A18f.). Jewish: *Neuman.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A140,Gods as workmen. Icel.: MacCulloch Eddic 327.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A150,Daily life of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A160,Mutual relations of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A170,Deeds of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A180,Gods in relation to mortals. Irish myth: Cross; Norse: Olrik Kilderne til,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A190,Gods: miscellaneous motifs.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A200,God of the upper world.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A210,"Sky-god. *Cook Zeus; *Cook Classical Review XVII 270, XVIII 365, FL",Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A220,Sun-god. **Frobenius Das Zeitalter des Sonnengottes (Berlin 1904);,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A240,Moon-god. D. Nielson Die altarabische Mondreligion und die mosaische,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A250,Star-god. Gressmann Die hellenistische Gestirnreligion (Leipzig 1925).,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A260,God of light. Greek: Fox 179 (Apollo); Icel.: De la Saussaye 253ff.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A270,God of dawn. Gaster Thespis 228.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A280,"Weather-god. Irish myth: Cross, Beal XXI 326, 334.",Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A300,God of the underworld. Gaster Thespis 136; Greek: Grote I 3; Irish myth:,Mythological Motifs,GODS,A100-A499,Gods of the underworld.,A300-A399
A310,"God of the world of the dead. *Meyer ""Der irische Totengott und die",Mythological Motifs,GODS,A100-A499,Gods of the underworld.,A300-A399
A400,God of earth. Greek: *Grote I 3; Irish myth: Cross; Egyptian: Müller 42;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A410,Local gods. Chinese: Graham; Irish myth: Cross.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A420,God of water. Irish myth: Cross; Icel.: MacCulloch Eddic 167;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A430,God of vegetation. **Siecke Der Vegetationsgott.—Irish myth: Cross;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A440,God of animals. Jewish: Neuman; Irish myth: Cross.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A450,God of trades and professions.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A460,Gods of abstractions. Greek: Fox 299.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A490,Miscellaneous gods of the earth. *Hartmann Die germanische Gottheit,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A500,Demigods and culture heroes. Irish myth: Cross; Hawaii: *Beckwith,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A510,Origin of the culture hero (demigod).,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A520,Nature of the culture hero (demigod).,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A530,Culture hero establishes law and order. Norse: Boberg; Greek: Fox 103;,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A560,Culture hero's (demigod's) departure. Irish myth: Cross; Finnish:,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A570,Culture hero still lives. Köhler-Bolte I 411; Irish myth: Cross.,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A580,Culture hero's (divinity's) expected return. Divinity or hero is expected,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A590,Demigods and culture heroes—miscellaneous.,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A600,Creation of the universe. In addition to other references in this section,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A610,Creation of universe by creator. The creator is existing before all things.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A620,Spontaneous creation of universe. Greek: *Grote I 4.—Maori: Dixon,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A630,Series of creations. The present universe is the last of a succession of,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A640,Other means of creating the universe.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A650,The universe as a whole.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A660,Nature of the upper world.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A670,Nature of the lower world.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A690,Miscellaneous worlds. Irish myth: Cross.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A700,Creation of the heavenly bodies. Irish myth: Cross; Pawnee: Alexander,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,The heavens,A700-A799
A710,Creation of the sun. *Rühle Sonne und Mond im primitiven Mythus,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE SUN,A710-A739
A720,Nature and condition of the sun. Chinese: Graham.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE SUN,A710-A739
A740,"Creation of the moon. (Cf. A710 to A719, where many of the motifs",Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE MOON,A740-A759
A750,Nature and condition of the moon. Many motifs in A720 to A739 refer,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE MOON,A740-A759
A760,Creation and condition of the stars. *Normann Mythen der Sterne,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A770,Origin of particular stars. **Normann Mythen der Sterne (Gotha 1925);,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A780,"The planets (comets, etc.).—*Normann Mythen der Sterne (Gotha",Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A790,The heavenly lights.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,The heavens,A700-A799
A800,Creation of the earth. *H. F. Feilberg Skabelses og Syndflodssagn,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A810,Primeval water: In the beginning everything is covered with,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A820,Other means of creation of earth.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A830,Creation of earth by creator. Genesis ch. I.—Irish myth: Cross; India:,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A840,Support of the earth. India: Thompson-Balys.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A850,Changes in the earth.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A870,Nature and condition of the earth. Icel.: MacCulloch Eddic 325.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A900,Topography—general considerations.,Mythological Motifs,Topographical features of the earth.,A900-A999,,
A910,Origin of water features—general.,Mythological Motifs,Topographical features of the earth.,A900-A999,WATER FEATURES,A910-A949
A920,"Origin of the seas. Jewish: Neuman; Persian: Carnoy 270, 277f.—Gold",Mythological Motifs,Topographical features of the earth.,A900-A999,WATER FEATURES,A910-A949
A930,Origin of streams. Irish myth: Cross; India: Thompson-Balys.,Mythological Motifs,Topographical features of the earth.,A900-A999,WATER FEATURES,A910-A949
A940,Origin of other bodies of water.,Mythological Motifs,Topographical features of the earth.,A900-A999,WATER FEATURES,A910-A949
A950,Origin of the land. Chinese: Graham; Eskimo (Cape York): Rasmussen III,Mythological Motifs,Topographical features of the earth.,A900-A999,LAND FEATURES,A950-A999
A960,Creation of mountains (hills). Norwegian: Solheim Register 22; Persian:,Mythological Motifs,Topographical features of the earth.,A900-A999,LAND FEATURES,A950-A999
A970,Origin of rocks and stones. Icel.: MacCulloch Eddic 325f.; Jewish:,Mythological Motifs,Topographical features of the earth.,A900-A999,LAND FEATURES,A950-A999
A980,Origin of particular places.,Mythological Motifs,Topographical features of the earth.,A900-A999,LAND FEATURES,A950-A999
A990,Other land features.,Mythological Motifs,Topographical features of the earth.,A900-A999,LAND FEATURES,A950-A999
A1000,World catastrophe. The world is destroyed. The incidents are usually,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1010,Deluge. Inundation of whole world or section.—**Anderson,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1020,Escape from deluge.,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1030,World-fire. A conflagration destroys the earth. Sometimes (as with the,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1040,"Continuous winter destroys the race. Spoken of as ""Fimbulwinter"". It",Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1050,Heavens break up at end of world. *Olrik Ragnarök 480 s.v.,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1060,Earth-disturbances at end of world. Irish myth: Cross; Jewish:,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1070,"Fettered monster's escape at end of world. Giant, or monster, is",Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1080,"Battle at end of world. Armageddon.—Revelations 16:16; Fb ""krig"" II",Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1090,World calamities and renewals: miscellaneous motifs.,Mythological Motifs,World calamities and renewals.,A1000-A1099,,
A1100,Establishment of natural order.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1110,Establishment of present order: waters.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1120,Establishment of present order: winds. Jewish: Neuman; India.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1130,Establishment of present order: weather phenomena.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1150,Determination of seasons. Greek: Frazer Apollodorus II 87 n. 3; India:,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1160,Determination of the months. Jewish: Neuman.—Ojibwa: Carson,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1170,Origin of night and day. India: Thompson-Balys.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1180,Establishment of present order—miscellaneous motifs.,Mythological Motifs,Establishment of natural order.,A1100-A1199,,
A1200,"Creation of man. *Hdwb. d. Abergl. I 460 s.v. ""Anthropogonie"";",Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1210,Creation of man by creator. *Dh I 89.—Irish myth: Cross; Greek:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1220,Creation of man through evolution. Hawaiian: Dixon 15f.; Samoan:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1230,Emergence or descent of first man to earth.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1240,Man made from mineral substance.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1250,Man made from vegetable substance.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1260,Mankind made from miscellaneous materials. Indonesian: Dixon 176.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1270,Primeval human pair. India: *Thompson-Balys; S. Am. Indian,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1280,"First man (woman). Hawaii: Beckwith Myth 276, 280f.; Tahiti:",Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1290,Creation of man—other motifs.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Creation of man,A1200-A1299
A1300,Ordering of human life. India: Thompson-Balys.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1310,Arrangement of man's bodily attributes.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1320,Determination of span of life. *Köhler-Bolte I 42.—N. A. Indian:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1330,Beginnings of trouble for man. Shasta and Athapascan: Frachtenberg,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1350,Origin of sex functions. (Cf. A1556.),Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1360,Man's growth and maturity.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1370,Origin of mental and moral characteristics.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1390,Ordaining of human life—miscellaneous.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Ordering of human life.,A1300-A1399
A1400,Acquisition of human culture.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1410,Acquisition of livable environment.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1420,Acquisition of food supply for human race. India: Thompson-Balys.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1430,Acquisition of other necessities.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1440,Acquisition of crafts. Irish: MacCulloch Celtic 137; Icel.: Boberg;,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1460,Acquisition of arts.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1470,Beginning of social relationships.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1480,Acquisition of wisdom and learning.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1490,Acquisition of culture—miscellaneous.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Acquisition of culture,A1400-A1499
A1500,Origin of customs—general. Irish: Beal XXI 324—326; Jewish:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1510,Origin of eating customs. India: Thompson-Balys.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1520,Origin of hunting and fishing customs. Irish myth: Cross.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1530,Origin of social ceremonials.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1540,Origin of religious ceremonials. Flemish: DeMeyer FFC XXXVII 85,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1550,Origin of customs of courtship and marriage. India: *Thompson-,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1560,Origin of customs connected with birth. India: Thompson-Balys.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1570,Origin of regulations within the family.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1580,Origin of laws. Irish myth: Cross; India: Thompson-Balys.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1590,Origin of other customs.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Origin of customs,A1500-A1599
A1600,Distribution and differentiation of peoples—general. Irish myth:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1610,Origin of various tribes. Icel.: MacCulloch Eddic 328; Persian: Carnoy,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1620,Distribution of tribes. Hebrew: Genesis ch. 10; Indo-Chinese: Scott,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1630,"Wandering of tribes. Icel.: Snorra Edda Prologue IV-V, Hermann Saxo",Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1640,Origin of tribal subdivisions. India: Thompson-Balys; Siberian:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1650,Origin of different classes—social and professional. Icel.:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1660,Characteristics of various peoples—in personal appearance. Icel.:,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1670,Characteristics of various peoples—in industry and warfare.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1680,Characteristics of various peoples—in habits. Irish myth: Cross.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1690,Distribution and differentiation of people—miscellaneous.,Mythological Motifs,CREATION AND ORDERING OF HUMAN LIFE,A1200-A1699,Distribution and differentiation of peoples.,A1600-A1699
A1700,"Creation of animals. (Cf. Chapter B, Animals.) Quiché: Alexander Lat.",Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1710,"Creation of animals through transformation. (Cf. A1811.1, A1833.2,",Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1730,Creation of animals as punishment. India: Thompson-Balys.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1750,Animals created through opposition of devil to god.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1770,Creation of animals from unusual primeval mating. S. Am. Indian,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1790,Creation of animals—other motifs.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of animal life—general.,A1700-A1799
A1800,Creation of mammals. Irish myth: Cross; Jewish: Neuman; India:,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of mammals,A1800-A1899
A1810,Creation of felidae.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Felidae,A1810-A1819
A1820,Creation of mustelidae.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Mustelidae,A1820-A1829
A1830,Creation of canidae and other carnivora.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Canidae and other carnivora.,A1830-A1839
A1840,Creation of rodentia.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Rodentia,A1840-A1859
A1860,Creation of primata. India: Thompson-Balys.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Primata,A1860-A1869
A1870,Creation of ungulata.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of mammals,A1800-A1899
A1890,Creation of other mammals.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of mammals,A1800-A1899
A1900,Creation of birds. Lappish: Qvigstad FFC LX 38 No. 46; Jewish:,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of birds,A1900-A1999
A1910,Creation of passeriformes.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Passeriformes,A1910-A1929
A1930,Creation of faiconiformes.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Falconiformes,A1930-A1939
A1940,Creation of charidriiformes. Finnish: Aarne FFC VIII 18 No. 101,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Charidriiformes,A1940-A1949
A1950,Creation of coraciiformes.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Coraciiformes,A1950-A1959
A1960,Creation of ciconiiformes.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Ciconiiformes,A1960-A1969
A1970,Creation of miscellaneous birds.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Miscellaneous birds,A1970-A1999
A2000,"Creation of insects. Knortz Die Inzekten in Sage, Sitte und Literatur",Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2010,Creation of hymenoptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2020,Creation of coleoptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2030,Creation of diptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2040,Creation of lepidoptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2050,Creation of hemiptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2060,Creation of orthoptera.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2070,Creation of miscellaneous insects.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of insects,A2000-A2099
A2100,Creation of fish. India: Thompson-Balys; Jewish: Neuman; Hawaii:,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,CREATION OF FISH,A2100-A2139
A2110,Creation of particular fishes.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,CREATION OF FISH,A2100-A2139
A2140,Creation of reptiles. India: *Thompson-Balys.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,Creation of fish and other animals.,A2100-A2199
A2160,Origin of amphibia.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,ORIGIN OF AMPHIBIANS AND OTHER ANIMAL FORMS,A2160-A2199
A2170,Origin of miscellaneous animal forms. India: Thompson-Balys.,Mythological Motifs,CREATION OF ANIMAL LIFE,A1700-A2199,ORIGIN OF AMPHIBIANS AND OTHER ANIMAL FORMS,A2160-A2199
A2200,"Cause of animal characteristics. See ""Register"" to Dähnhardt (III",Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2210,Animal characteristics: change in ancient animal. (Cf. A2311.)—Dh,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2220,Animal characteristics as reward.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2230,Animal characteristics as punishment.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2240,Animal characteristics: obtaining another's qualities. Jewish:,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2250,Animal characteristics: result of contest. *Dh III 141ff.—Arawak and,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2260,Animal characteristics from transformation.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2270,Animal characteristics from miscellaneous causes.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Various causes of animal characteristics.,A2200-A2299
A2300,Origin of animal characteristics: body.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2310,Origin of animal characteristics: body covering.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2320,Origin of animal characteristics: head.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2330,Origin of animal characteristics: face.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2350,Origin of animal characteristics: trunk.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2370,Animal characteristics: extremities.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2380,Animal characteristics: other bodily features.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: body.,A2300-A2399
A2400,Animal characteristics: general appearance.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: appearance and habits.,A2400-A2499
A2410,Animal characteristics: color and smell.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: appearance and habits.,A2400-A2499
A2420,Animal characteristics: voice and hearing.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: appearance and habits.,A2400-A2499
A2430,Animal characteristics: dwelling and food.,Mythological Motifs,ANIMAL CHARACTERISTICS,A2200-A2599,Causes of animal characteristics: appearance and habits.,A2400-A2499
